ac_id,requirement,ac_number,design_section,task_ids,test_ids,coverage_status,when_summary,then_summary,notes
Req14.AC9,14,9,"§4.12, §1.7.7",44;88,119,COVERED,`payment_service_execution_at(contracted_services) - now() <= 12 hours` is reached,the system MUST atomically cancel with `cancellation_reason = 'PROVIDER_SUSPENDED'`; no refund (no charge); client notified with support contact.,SUSPENDED T-12h cancel PROVIDER_SUSPENDED
Req15.AC1,15,1,"§4.8, §1.7.5",38;68,118,COVERED,the cancellation is confirmed,"the system MUST compute `refund_amount = charge_amount` (100% of amount paid, including card processing fees); invoke `transactionRefund(transactionId, amount = refund_amo…",>48h cancel refund charge_amount 100%
Req15.AC2,15,2,"§4.8, §1.7.5",38;68,118,COVERED,the cancellation is confirmed,the system MUST compute `refund_amount = base_amount × 0.90` (90% of service price; 10% penalty retained; card processing fees non-refundable); invoke `transactionRefund` for `refu…,12-48h cancel 90% base_amount penalty
Req15.AC3,15,3,"§4.8, §1.7.5",38;68,118,COVERED,the cancellation is confirmed,the system MUST compute `refund_amount = base_amount × 0.70` (70% of service price; 30% penalty retained; card processing fees non-refundable); invoke `transactionRefund` for `refu…,<12h cancel 70% base_amount penalty
Req15.AC4,15,4,"§4.8, §1.7.5",87,119,COVERED,the client initiates cancel (except blocked `IN_ANALYSIS` before T-12h),`payment_schedules.state` MUST transition to `CANCELLED` without gateway call; no penalty; provider receives informational push (*cliente cancelou — serviço não confirmado*).,Pre-PAID cancel no gateway
Req15.AC5,15,5,"§4.8, §1.7.5",87,119,COVERED,the service is cancelled (any `contracted_services.status` in `PENDING_PAYMENT`),`payment_schedules.state` MUST transition to `CANCELLED` without any gateway interaction; `transactionRefund` MUST NOT be called; no penalty applies; the `payment_audit_log` entry …,Pre-T2 SCHEDULED cancel no gateway
Req15.AC6,15,6,"§4.8, §1.7.5",38;68;87,118,COVERED,the cancellation is confirmed,the same ToS §2.2 penalty rules apply as for `CONFIRMED` (refund computed on `base_amount` by time window); `EXECUTED` does not change refund eligibility or penalty percentages.,CONFIRMED/EXECUTED paid cancel same tiers
Req15.AC7,15,7,"§4.8, §1.7.5",87,119,COVERED,the cancellation RPC is invoked,the system MUST return HTTP 409 with `error_code: 'SERVICE_NOT_CANCELLABLE'`; no refund is processed via the app.,COMPLETED not cancellable
Req15.AC8,15,8,"§4.8, §1.7.5",87;44,120,COVERED,a client or provider attempts cancellation,"cancellation MUST be blocked with HTTP 409 and `error_code: 'PAYMENT_IN_ANALYSIS'` while `payment_service_execution_at − now() > 12 hours`; after T-12h, auto-cancel applies (see Re…",IN_ANALYSIS cancel blocked until T-12h rule
Req15.AC9,15,9,"§4.8, §1.7.5",87,119,COVERED,the client cancels before T-12h,"cancellation is free: `contracted_services.status = 'CANCELLED'`, `cancellation_reason = 'CLIENT_INITIATED'`, `payment_schedules.state = 'CANCELLED'`; no refund (no charge occurred…",Failed pre-PAID client cancel free
Req15.AC10,15,10,"§4.8, §1.7.5",38;68,118,COVERED,`payment_schedules.state = 'PAID'`,"the system MUST execute a full refund (`refund_amount = charge_amount`, i.e., the full amount debited from the client's card including card processing fees) regardless of timing; n…",Provider cancel full charge_amount refund
Req15.AC11,15,11,"§4.8, §1.7.5",35;68,118,COVERED,the response is received from the gateway,`payment_schedules.state` MUST remain `REFUND_REQUESTED` until the webhook `TRANSACTION_REFUND` confirms the refund; only upon webhook confirmation MUST the state transition to `RE…,REFUND_REQUESTED until webhook confirms
Req15.AC12,15,12,"§4.8, §1.7.5",68;82;87,118,COVERED,the error is received,"the system MUST: (1) NOT mark the payment as refunded, (2) emit a `CRITICAL` Sentry alert, (3) persist the error in `payment_audit_log`, (4) surface a support escalation link in th…",Refund failure CRITICAL + support escalation
Req16.AC1,16,1,§4.7.1,33;67,121,COVERED,the request is received,the function MUST persist the raw payload (`req.text()`) and all relevant headers to `payment_webhook_events` with `state = 'RECEIVED'` BEFORE any validation or processing; this en…,Persist RECEIVED before validation
Req16.AC2,16,2,§4.7.1,67;90,121,COVERED,signature validation begins,"the function MUST compute `HMAC-SHA256(secretKey, rawBody)` where `secretKey` is read from Supabase Vault; it MUST compare the computed hex digest to the value in `X-NETCRED-Signat…",HMAC timingSafeEqual via Vault secret
Req16.AC3,16,3,§4.7.1,67;33,121,COVERED,the mismatch is detected,"the function MUST: (1) update `payment_webhook_events.state = 'FAILED'` with `failure_reason = 'INVALID_SIGNATURE'`, (2) emit a `WARN` Sentry event with `{ event_type: X-NETCRED-Ev…",Invalid signature → FAILED + 401
Req16.AC4,16,4,§4.7.1,35;67,121,COVERED,`X-NETCRED-Event` is parsed,the function MUST dispatch to a per-event handler; unknown event types MUST be logged as `WARN` and acknowledged with HTTP 200 (no-op); the system MUST be designed to tolerate new …,Per-event dispatch; unknown → WARN 200
Req16.AC5,16,5,§4.7.1,34;55,118,COVERED,the event requires complex state reconciliation,the function MUST enqueue the event to `payment_webhook_processing_queue` and return HTTP 200 immediately; heavy processing MUST occur in a separate background worker invoked by `p…,Heavy path enqueue + 200 immediate
Req17.AC1,17,1,"§4.7.3, §3.7",11;33,118,COVERED,the insert is executed,"the UNIQUE constraint on `(gateway_slug, event_type, gateway_event_id)` MUST be evaluated; a duplicate insert MUST trigger a controlled conflict handling path (e.g., `ON CONFLICT …",UNIQUE constraint on ingest
Req17.AC2,17,2,"§4.7.3, §3.7",33;35;67,118,COVERED,the handler identifies the existing record,"it MUST: update `is_duplicate = true` on the existing or new record, return HTTP 200 immediately, log `{ is_duplicate: true, gateway_event_id, event_type }`; it MUST NOT re-execut…",Duplicate → is_duplicate + 200 no reprocess
Req17.AC3,17,3,"§4.7.3, §3.7",35,118,COVERED,the handler resolves the target `payment_schedules` record,"it MUST check the current `state`; if applying the event would cause a regression in the state machine (e.g., transitioning from `PAID` to `IN_ANALYSIS`), the transition MUST be sk…",Out-of-order regression guard
Req17.AC4,17,4,"§4.7.3, §3.7",35,118,COVERED,the handler processes it,"it MUST update only safe monotonic fields (e.g., `webhook_confirmed_at`) without altering `state`; the event MUST be marked `PROCESSED`, not `DUPLICATE`, as it is a valid but redun…",Redundant TRANSACTION_CAPTURE on PAID safe update
Req17.AC5,17,5,"§4.7.3, §3.7",35,118,COVERED,the handler processes it,"the corresponding `payment_tokens` record MUST be set to `state = 'REVOKED'`; if linked to a `SCHEDULED` or `FAILED` `payment_schedules` record, the client MUST be notified to upda…",PAYMENT_PROFILE_DELETE → REVOKED + needs_payment_method_update
Req18.AC1,18,1,"§4.7.3, §4.7.2",35,118,COVERED,the handler processes it,"`payment_schedules.state` MUST transition to `PAID`; `contracted_services.status` MUST transition to `CONFIRMED` in the same transaction; `charge_captured_at`, `paid_amount`, `prov…",TRANSACTION_CAPTURE → PAID + CONFIRMED
Req18.AC2,18,2,"§4.7.3, §4.7.2",35;34;55,118,COVERED,`transactionState` maps to a known internal state,the handler MUST apply the full corresponding state machine transition; `TRANSACTION_UPDATE` MUST act as a universal fallback reconciliation event for all transaction state changes…,TRANSACTION_UPDATE queued fallback
Req18.AC3,18,3,"§4.7.3, §4.7.2",35,118,COVERED,the handler processes it,`payment_schedules.state` MUST transition to `VOIDED`; `voided_at` MUST be set.,CHARGE_VOID → VOIDED
Req18.AC4,18,4,"§4.7.3, §4.7.2",35;82;111;126,118,COVERED,the handler processes it,`payment_schedules.is_disputed = true` MUST be set; a `CRITICAL` Sentry alert MUST be emitted; ops MUST be notified; client and provider MUST receive neutral push and in-app badge …,TRANSACTION_DISPUTE → is_disputed + alerts
Req18.AC5,18,5,"§4.7.3, §4.7.2",35;126,118,COVERED,the handler processes it and `transactionState = 'REFUNDED'`,`payment_schedules.state` MUST transition from `REFUND_REQUESTED` to `REFUNDED`; `refund_confirmed_at` and `refunded_amount` MUST be persisted; the client MUST be notified of refun…,TRANSACTION_REFUND → REFUNDED states
Req18.AC6,18,6,"§4.7.3, §4.7.2",35;126,118,COVERED,the handler resolves affected future charge schedules,"for each `payment_schedules` record in `SCHEDULED` state linked to the expiring token, the client MUST be notified to update their payment method before `charge_scheduled_at`.",PAYMENT_PROFILE_EXPIRING notifications
Req18.AC7,18,7,"§4.7.3, §4.7.2",35;67,121,COVERED,the handler dispatches it,it MUST log a structured `WARN` entry with the full event type and payload; it MUST return HTTP 200; it MUST NOT raise an unhandled exception; future event type additions MUST requ…,Unknown event WARN + 200
Req19.AC1,19,1,"§4.7.4, §3.8",35;55,118,COVERED,the failure is caught,`payment_webhook_events.state` MUST transition to `'FAILED'`; `failure_reason` (exception message + stack trace excerpt) MUST be recorded; `retry_count` MUST be incremented.,Failure → FAILED + retry_count
Req19.AC2,19,2,"§4.7.4, §3.8",55;37,118,COVERED,the `process-webhook-retry` cron fires,"the event MUST be re-queued; `next_retry_at` MUST follow exponential backoff: `base_interval_minutes × 2^(retry_count - 1)` (base: 5 minutes); first retry at T+5min, second at T+10…",Exponential backoff retry schedule
Req19.AC3,19,3,"§4.7.4, §3.8",55;82,118,COVERED,the retry limit is exhausted,"the event MUST transition to `state = 'DEAD_LETTER'`; a `CRITICAL` Sentry alert MUST be raised with: event type, `gateway_event_id`, `payment_schedules` reference (if resolvable),…",retry_count>=3 → DEAD_LETTER + CRITICAL
Req19.AC4,19,4,"§4.7.4, §3.8",49;105,118,COVERED,`state` is set to `'RECEIVED'` and `retry_count = 0`,"the next retry cron MUST pick up the event and reprocess it; due to idempotency constraints, safe reprocessing is guaranteed.",Operator reset to RECEIVED
Req20.AC1,20,1,§4.9,39;58;70,122,COVERED,it queries for stale intermediate records,"it MUST select `payment_schedules` WHERE `state IN ('IN_ANALYSIS', 'PROCESSING', 'REFUND_REQUESTED')` AND `updated_at < now() - interval '30 minutes'`.",Stale intermediate state selection
Req20.AC2,20,2,§4.9,40;70;35,122,COVERED,the cron calls `getTransaction(referenceCode = contracted_service_id)` via the adapter,if the gateway returns `PAID`: MUST apply the full `PAID` transition (identical to the webhook path); if `REJECTED`: MUST apply `FAILED_PERMANENT` transition; if `null`: MUST log a…,IN_ANALYSIS reconcile via getTransaction
Req20.AC3,20,3,§4.9,40;70;82,122,COVERED,the failure is caught,the record MUST remain in its current state; `reconciliation_failure_count` MUST be incremented; a `WARN` Sentry event MUST be emitted when `reconciliation_failure_count > 3` for t…,Network fail increment reconciliation_failure_count
Req20.AC4,20,4,§4.9,40;70;35,122,COVERED,the cron calls `getTransaction`,"if the gateway confirms `REFUNDED` or `PARTIALLY_REFUNDED`, the corresponding state transition MUST be applied as if the webhook had been received.",REFUND_REQUESTED reconcile from gateway state
Req21.AC1,21,1,§10.1,82,122,COVERED,the function initializes,"it MUST initialize a Sentry transaction with: operation name, `service_id` tag, `gateway_slug` tag, `environment` tag.",EF Sentry transaction init tags
Req21.AC2,21,2,§10.1,82;65,122,COVERED,the gateway call completes (success or failure),"a Sentry span MUST be finalized with: `gateway_latency_ms`, `transaction_state`, `charge_amount`, `attempt_number`, `schedule_id`, `gateway_charge_id` (if obtained).",Gateway span attributes
Req21.AC3,21,3,§10.1,82,122,COVERED,caught,"it MUST be captured via `Sentry.captureException` with extra context: `{ schedule_id, contracted_service_id, automatic_attempt_count, gateway_slug, error_code, current_state }`.",captureException with payment context
Req21.AC4,21,4,§10.1,82;29,122,COVERED,logged to Sentry,Sentry MUST emit a `WARNING`-level event with all previous attempt `failure_code` values in `extra` for pattern analysis.,FAILED_PERMANENT WARNING with failure_codes
Req21.AC5,21,5,§10.1,82;55,118,COVERED,the transition is committed,Sentry MUST emit a `CRITICAL` alert; the alerting rule MUST notify the on-call channel within 5 minutes.,DEAD_LETTER CRITICAL alert
Req21.AC6,21,6,§10.1,82;62;129,129,COVERED,`tokenAuth` fails,Sentry MUST emit a `CRITICAL` alert; all on-call personnel MUST be notified as this blocks all payment processing.,tokenAuth CRITICAL alert
Req21.AC7,21,7,§10.1,82;44;52,119,COVERED,the cancellation is committed,"Sentry MUST emit a `WARNING` event with `service_id`, `schedule_id`, `last_failure_reason`.",Auto-cancel WARNING event
Req22.AC1,22,1,"§10.3, §3.9",13;29;35,115,COVERED,committed to the database,"the same transaction MUST INSERT into `payment_audit_log`: `event_type`, `entity_type = 'payment_schedule'`, `entity_id = schedule_id`, `service_id`, `from_state`, `to_state`, `act…",Audit INSERT same TX as schedule transition
Req22.AC2,22,2,"§10.3, §3.9",38;68,115,COVERED,`transactionRefund` is submitted,"`payment_audit_log` MUST record: `event_type = 'REFUND_SUBMITTED'`, `refund_amount`, `refund_reason`, `refunded_by` (initiator), `gateway_transaction_id`.",REFUND_SUBMITTED audit fields
Req22.AC3,22,3,"§10.3, §3.9",76;25,94,COVERED,they advance past the card step,"`payment_audit_log` MUST record: `event_type = 'PAYMENT_TERMS_ACCEPTED'`, `actor = 'client'`, `metadata.gateway_slug`, `metadata.accepted_at`.",PAYMENT_TERMS_ACCEPTED audit at accept
Req22.AC4,22,4,"§10.3, §3.9",50;105,115,COVERED,queried for a specific `service_id` or `schedule_id`,all entries MUST be returned in chronological order; the complete payment lifecycle MUST be reconstructable from these entries alone.,Lifecycle reconstructable from audit
Req22.AC5,22,5,"§10.3, §3.9",13;84;127,115,COVERED,database permissions are configured,application roles MUST have INSERT and SELECT only; UPDATE and DELETE MUST be denied; audit records MUST be immutable.,INSERT-only permissions + triggers
Req23.AC1,23,1,"§7, §4.5.1",28,116;92,COVERED,both issue the dequeue query simultaneously,`SELECT ... FOR UPDATE SKIP LOCKED` MUST ensure only one worker acquires the row; the second MUST skip to the next eligible record without error.,SKIP LOCKED single winner
Req23.AC2,23,2,"§7, §4.5.1",32;56,97,COVERED,`locked_until` expires,"the janitor cron MUST transition the record: if `automatic_attempt_count = 0`, back to `SCHEDULED`; if `automatic_attempt_count > 0`, to `FAILED`; the next cron execution MUST then…",Janitor orphan recovery paths
Req23.AC3,23,3,"§7, §4.5.1",61;65,93,COVERED,a second `chargeCreate` is issued for the same `referenceCode` due to a retry,the adapter MUST detect the specific error code and call `getTransaction(referenceCode)` to retrieve the existing charge; no second charge MUST be created.,referenceCode conflict getTransaction
Req23.AC4,23,4,"§7, §4.5.1",30;66,96;116,COVERED,both attempt `SELECT ... FOR UPDATE`,the second accessor MUST encounter the held lock and either wait (if short timeout) or abort with a concurrency error to the caller; the caller (manual payment API) MUST return HTT…,Manual vs cron 409 PAYMENT_ALREADY_IN_PROGRESS
Req23.AC5,23,5,"§7, §4.5.1",28,116,COVERED,the increment is executed,it MUST be atomic within the same transaction as `state = 'PROCESSING'`; separate UPDATE statements for `automatic_attempt_count` and `state` MUST NOT be used.,attempt_count atomic with PROCESSING
Req24.AC1,24,1,"§11.1, §4.2.3",64;74,94,COVERED,the data is transmitted,"raw card data (PAN, CVV, expiry) MUST travel only from the client browser/app to the `tokenize-payment-card` Edge Function over HTTPS; the data MUST NOT be logged, stored in React …",Card data only to tokenize EF
Req24.AC2,24,2,"§11.1, §4.2.3",7,115,COVERED,audited for PCI compliance,"the table MUST NOT contain columns for raw PAN or CVV; it MUST contain ONLY tokenized references: `gateway_payment_profile_id`, `card_number_masked`, `card_brand`, `provider_card_…",No PAN/CVV columns schema audit
Req24.AC3,24,3,"§11.1, §4.2.3",67,121,COVERED,the HMAC comparison is performed,the implementation MUST use `crypto.timingSafeEqual` (or equivalent constant-time function) to prevent timing-based side-channel attacks.,timingSafeEqual webhook HMAC
Req24.AC4,24,4,"§11.1, §4.2.3",67;89,121,COVERED,receiving requests,it MUST reject requests with invalid or missing signatures with HTTP 401; it MUST apply rate limiting (via `platform_rate_limits`) to prevent signature brute-force attacks.,Webhook rate limiting
Req24.AC5,24,5,"§11.1, §4.2.3",18;90,117,COVERED,it is accessed,it MUST be read from Supabase Vault; it MUST be rotatable by updating the Vault secret and redeploying the Edge Function; a rotation MUST NOT require a database migration.,INSTALLMENT_SIGNING_SECRET in Vault
Req24.AC6,24,6,"§11.1, §4.2.3",7;115,115,COVERED,a query is executed,only the owning client (`auth.uid() = client_id`) MUST be able to SELECT their own tokens via the client-facing API; providers and anonymous users MUST receive zero rows; Edge Func…,client_card_tokens RLS owner-only SELECT
Req24.AC7,24,7,"§11.1, §4.2.3",90;62,93,COVERED,Edge Functions access them,"they MUST be read from Supabase Vault at runtime; they MUST NOT be present in `.env` files, source code, or any client-accessible key-value store.",NetCred credentials Vault-only
Req25.AC1,25,1,"§3.12, §5.2",4;17;18,117,COVERED,the next `calculate-installment-options` or `calculate_charge_amount` execution runs,the updated rates MUST take effect immediately without Edge Function redeployment.,Rate updates without redeploy
Req25.AC2,25,2,"§3.12, §5.2",4,117,COVERED,the rows are validated,"the following keys MUST exist: `cc_visa_master_1x_rate` (2.39), `cc_visa_master_2_6x_rate` (2.59), `cc_visa_master_7_12x_rate` (2.79), `cc_elo_other_1x_rate` (2.69), `cc_elo_other_…",Required fee rate keys seeded
Req25.AC3,25,3,"§3.12, §5.2",4,117,COVERED,the rows are validated,"the following keys MUST exist: `max_charge_attempts` (3), `charge_retry_interval_minutes` (30), `payment_lease_duration_minutes` (10), `provider_onboarding_batch_size` (50), `auto_…",Operational limit keys seeded
Req25.AC4,25,4,"§3.12, §5.2",17;18,117,COVERED,an Edge Function or RPC reads it,it MUST fall back to a safe hardcoded default; the absence of a row MUST NOT cause a runtime exception; the fallback MUST be logged as a `WARN`.,Missing key safe fallback + WARN
Req25.AC5,25,5,"§3.12, §5.2",17;18,117,COVERED,`calculate_charge_amount` applies them,"the computation MUST be NetCred gross-up: `final_amount = ROUND_HALF_EVEN((base_amount + fixed fees) / (1 - rate/100), 2)`; identical between Edge Function and PostgreSQL RPC",NetCred gross-up charge formula parity
Req26.AC1,26,1,§3 (all),60,,DIVERGENT,NetCred is registered,"it MUST contain: `id` (UUID, PK), `slug` (TEXT, UNIQUE — this is the **`gateway_slug`**, e.g., `'netcred'`), `display_name`, `is_active` (BOOLEAN), `supported_methods` (TEXT[], e.g…",DIVERGENT: Req AC mentions payment_providers table; design Option A uses constants.ts — no registry table
Req26.AC2,26,2,§3 (all),6,115,COVERED,the NetCred adapter caches a JWT,"it MUST contain: `gateway_slug` (TEXT, PK or UNIQUE FK → `payment_providers.slug`), `token` (TEXT, encrypted at rest or Vault reference), `expires_at` (TIMESTAMPTZ), `refreshed_at`…",payment_gateway_tokens schema
Req26.AC3,26,3,§3 (all),7,115,COVERED,a card is tokenized,"it MUST contain: `id` (UUID, PK), `client_id` (UUID, FK → `profiles`), `provider_id` (UUID, FK → `payment_providers`), `gateway_payment_profile_id` (TEXT), `card_number_masked` (T…",client_card_tokens schema
Req26.AC4,26,4,§3 (all),9,115,COVERED,a charge is scheduled,"it MUST contain: `id` (UUID, PK), `contracted_service_id` (UUID, FK → `contracted_services.id`), `client_id` (UUID), `provider_id` (UUID, service provider), `gateway_slug` (TEXT), …",payment_schedules schema
Req26.AC5,26,5,§3 (all),10,115,COVERED,a charge attempt is made,"it MUST contain: `id` (UUID, PK), `schedule_id` (UUID, FK → `payment_schedules`), `attempt_number` (SMALLINT), `initiator` (TEXT: `'cron' | 'client'`), `initiated_at` (TIMESTAMPTZ)…",payment_attempts schema
Req26.AC6,26,6,§3 (all),11,115,COVERED,a webhook is received,"it MUST contain: `id` (UUID, PK), `gateway_slug` (TEXT), `event_type` (TEXT), `gateway_event_id` (TEXT), `raw_payload` (JSONB), `raw_headers` (JSONB), `state` (TEXT: webhook proce…",payment_webhook_events schema
Req26.AC7,26,7,§3 (all),13,115,COVERED,an audit entry is inserted,"it MUST contain: `id` (UUID, PK), `event_type` (TEXT), `entity_type` (TEXT), `entity_id` (UUID), `service_id` (UUID), `schedule_id` (UUID), `from_state` (TEXT), `to_state` (TEXT), …",payment_audit_log schema
Req26.AC8,26,8,§3 (all),8,115,COVERED,a provider's credentialing data is stored,"it MUST contain: `id` (UUID, PK), `provider_id` (UUID, FK → `profiles`), `gateway_slug` (TEXT), `document` (TEXT, CPF/CNPJ digits only), `netcred_company_id` (TEXT), `netcred_…",provider_gateway_accounts schema
Req26.AC9,26,9,§3 (all),9;10;11;13;7;8,115,COVERED,indexes are defined,"required indexes MUST include: `payment_gateway_tokens(gateway_slug)` (UNIQUE), `payment_schedules(charge_scheduled_at, state, locked_until)`, `payment_schedules(contracted_service…",Required indexes
Req27.AC1,27,1,"§4.3.2, §4.4.1",74;76,94,COVERED,the client views the checkout stepper,"the UI MUST display a disclosure block stating: (a) transactions are processed by a commercial payment partner, (b) a tappable link labeled ""Termos de Uso"" that opens the partner's…",Payment partner disclosure block
Req27.AC2,27,2,"§4.3.2, §4.4.1",76;25,94,COVERED,the acceptance is processed server-side,"`payment_audit_log` MUST record `event_type = 'PAYMENT_TERMS_ACCEPTED'`, `actor = 'client'`, `actor_id = auth.uid()`, `metadata = { gateway_slug: 'netcred', timestamp }`.",PAYMENT_TERMS_ACCEPTED server audit
Req27.AC3,27,3,"§4.3.2, §4.4.1",75,94,COVERED,all installment options are rendered,"for each installment count `n`, the UI MUST show: `{n}x de R$ {installment_amount}` AND `Total com taxas: R$ {total_with_fees}`; a fee disclosure note MUST explain that applicable …",Installment display with total_with_fees
Req27.AC4,27,4,"§4.3.2, §4.4.1",76;25,95,COVERED,the confirmation summary is rendered,"the UI MUST disclose when the card will be charged: (a) if `payment_service_execution_at(contracted_services) - now() >= 48 hours`, display the `charge_scheduled_at` date (48 hours…",Charge timing disclosure before confirm
Req28.AC1,28,1,"§3.3, §5.2",78,94,COVERED,the payment methods section renders,"the UI MUST display all `payment_tokens` records WHERE `client_id = auth.uid()` AND `state = 'ACTIVE'`, showing: masked card number (`•••• XXXX`), card brand icon, expiry month/yea…",Profile list ACTIVE tokens
Req28.AC2,28,2,"§3.3, §5.2",78;64,94,COVERED,the add card form is shown,the shared card input component from the `payments` feature MUST be reused; duplicate card form components MUST NOT exist; the same `tokenize-payment-card` Edge Function MUST be ca…,Shared card component + tokenize EF
Req28.AC3,28,3,"§3.3, §5.2",22;78,94,COVERED,the card is linked to a `payment_schedules` record in `SCHEDULED` or `FAILED` state,the UI MUST warn the client that removal will affect a pending service payment; the client MUST be required to assign a replacement card to the affected service before removal is p…,Block revoke with linked SCHEDULED/FAILED
Req28.AC4,28,4,"§3.3, §5.2",22,94,COVERED,the removal is confirmed,`payment_tokens.state` MUST be set to `REVOKED`; the card MUST disappear from the profile list; no gateway API call is required for removal (the token remains valid at NetCred but …,Revoke → REVOKED local only
Req29.AC1,29,1,"§4.1.1, §1.7.6",26,115,COVERED,any opportunity-listing RPC is called,"the RPC (`match_provider_jobs` and all variants) MUST return an empty result set; this enforcement MUST be in the Postgres RPC (`SECURITY DEFINER`), not only in client-side renderi…",match_provider_jobs gate
Req29.AC2,29,2,"§4.1.1, §1.7.6",27,115,COVERED,they attempt to initiate a chat with a client,the chat initiation RPC MUST be denied with `error_code: 'PROVIDER_NOT_CREDENTIALED'`; no chat thread MUST be created; the app MUST display the credentialing progress screen.,Chat initiation gate
Req29.AC3,29,3,"§4.1.1, §1.7.6",25,117,COVERED,`accept_proposal` is called on their behalf,the RPC MUST return `error_code: 'PROVIDER_NOT_CREDENTIALED'` (HTTP 409); the acceptance MUST NOT proceed.,accept_proposal provider ACTIVE check
Req29.AC4,29,4,"§4.1.1, §1.7.6",42;109,122,COVERED,the next app session begins,the opportunities list MUST populate; a Push notification MUST be dispatched to the provider confirming successful credentialing and ability to accept service requests.,Activation push on credentialing
Req29.AC5,29,5,"§4.1.1, §1.7.6",26;27;88,115,COVERED,"they call any opportunity-listing, chat-initiation, or proposal-acceptance RPC",the RPC MUST deny access identically to `PENDING_DOCUMENTS`; a suspension-specific message MUST be shown in the UI with support contact information; existing `CONFIRMED`/`EXECUTED`…,SUSPENDED same denial as pending
Req29.AC6,29,6,"§4.1.1, §1.7.6",88;44;28,119,COVERED,pre-charge services (`PENDING_PAYMENT`) were frozen during suspension,"charging MUST NOT automatically resume; ops resolves each frozen service case by case (e.g., cancel, reschedule, or manually trigger charge); the cron MUST continue to skip schedul…",No auto-resume charge after reactivation — ops manual
Req30.AC1,30,1,"§3.10, §4.5.2",14;85;29;35,115,COVERED,the event is committed to the database,"a corresponding INSERT MUST be made to `payment_events` with: `event_type`, `aggregate_type` (`'payment_schedule' | 'payment_token' | 'provider_account'`), `aggregate_id`, `service…",payment_events on domain transitions
Req30.AC2,30,2,"§3.10, §4.5.2",31;126,122,COVERED,`ChargeSucceeded` or `ChargeFailed` events are available,the dispatcher MUST enqueue the appropriate notification without the payment execution cron coupling directly to the notification API; decoupling MUST allow notifications to fail w…,MMD decoupled from charge TX
Req30.AC3,30,3,"§3.10, §4.5.2",14;85,,PARTIAL,aggregate metrics are computed,"it MUST be possible to derive: approval rate (PAID / total `ChargeAttemptStarted`), failure rate by error code, mean and P95 gateway latency from `payment_attempts`, refund rate pe…",GAP: analytics derivation from payment_events — post-MVP consumer
Req31.AC1,31,1,"§4.2.2, §4.11",73,94,COVERED,the React component mounts,the frontend MUST generate a UUID v4 as `clearsaleSessionId` and store it in the stepper's local state; this value MUST remain stable for the entire checkout session (MUST NOT rege…,UUID v4 on card step mount; stable in session
Req31.AC2,31,2,"§4.2.2, §4.11",73,94,COVERED,the component runs its initialization effect,"the ClearSale Browser/WebView SDK script MUST be injected into the document using the async loader pattern: ```js (function (a, b, c, d, e, f, g) { a['CsdpObject'] = e; a[e] = a[e]…",Async fp.js injection pattern
Req31.AC3,31,3,"§4.2.2, §4.11",73,94,COVERED,the card step renders inside the WebView,"the Browser/WebView SDK MUST be used (NOT the React Native SDK); the Capacitor WebView executes standard web JavaScript, so `fp.js` applies identically to both web/PWA and Android …",Capacitor WebView Browser SDK
Req31.AC4,31,4,"§4.2.2, §4.11",114,94,COVERED,the SDK is initialized,"the AppKey MUST be read from `VITE_CLEARSALE_APP_KEY` (non-secret, safe to expose in web bundles — it only identifies the application, it does not authenticate it); it MUST NOT be …",VITE_CLEARSALE_APP_KEY from env
Req31.AC5,31,5,"§4.2.2, §4.11",73,94,COVERED,the card step renders again,"a NEW `clearsaleSessionId` MUST be generated; the ClearSale documentation explicitly states that the `sessionId` must be updated whenever the user leaves the checkout and returns, …",New UUID on checkout re-entry
Req31.AC6,31,6,"§4.2.2, §4.11",25;76,95,COVERED,"the client taps ""Confirm"" to submit `accept_proposal`",`clearsale_session_id` (the UUID generated at the card step) MUST be included in the `accept_proposal` Edge Function request payload; the Edge Function MUST persist this value in `…,clearsale_session_id in accept_proposal RPC payload
Req31.AC7,31,7,"§4.2.2, §4.11",25;76,95,COVERED,it captures the client IP address,"the Edge Function MUST extract the client IP from the request's `X-Forwarded-For` header (first value) or `CF-Connecting-IP` header (Cloudflare/Supabase), falling back to the remot…",Design: p_client_ip via RPC param not EF — Req text says EF
Req31.AC8,31,8,"§4.2.2, §4.11",65;29,122,COVERED,it assembles the `chargeCreate` input payload,it MUST set: `orderInput.sessionId = payment_schedules.clearsale_session_id` (if non-null); `customerIpAddress = payment_schedules.client_ip_address` (if non-null); `orderInput.ref…,chargeCreate sessionId + customerIp from schedule row
Req31.AC9,31,9,"§4.2.2, §4.11",73;79;66,96,COVERED,the client initiates a manual charge from the service detail screen,the manual payment UI MUST initialize the ClearSale SDK on the payment confirmation screen with a FRESH UUID as the new `clearsaleSessionId`; the `manual-charge-payment` Edge Funct…,Manual payment fresh ClearSale UUID
Req31.AC10,31,10,"§4.2.2, §4.11",35;9,118,COVERED,the schedule is in `IN_ANALYSIS` state,the `clearsale_session_id` MUST remain in `payment_schedules` for potential reconciliation reference; it MUST NOT be cleared until the schedule reaches a terminal state.,Keep clearsale_session_id through IN_ANALYSIS
Req31.AC11,31,11,"§4.2.2, §4.11",64;74,94,COVERED,`paymentProfileCreate` is called for tokenization,"`billingAddressInput` MUST always be included in production; if the billing address was not collected during the checkout stepper, the tokenization MUST fail at the validation laye…",billingAddress required before tokenize
